asset_id,local_path,title,creator,year,source_url,license,attribution,role,notes
floral-reference-01,references/primary/floral-01-blue-red.webp,User-supplied floral color reference 01,User-provided source,,"https://www.bilibili.com/video/BV1acjF68E6N/ | https://www.bilibili.com/video/BV1qe4y1d71z/",user_authorized_reference_upload,User supplied and authorized this repository upload,primary,Compressed WebP derivative; exact video-to-frame mapping was not specified.
floral-reference-02,references/primary/floral-02-blue-orange.webp,User-supplied floral color reference 02,User-provided source,,"https://www.bilibili.com/video/BV1acjF68E6N/ | https://www.bilibili.com/video/BV1qe4y1d71z/",user_authorized_reference_upload,User supplied and authorized this repository upload,primary,Compressed WebP derivative; exact video-to-frame mapping was not specified.
floral-reference-03,references/primary/floral-03-orange-pale-blue.webp,User-supplied floral color reference 03,User-provided source,,"https://www.bilibili.com/video/BV1acjF68E6N/ | https://www.bilibili.com/video/BV1qe4y1d71z/",user_authorized_reference_upload,User supplied and authorized this repository upload,primary,Compressed WebP derivative; exact video-to-frame mapping was not specified.
floral-reference-04,references/primary/floral-04-blue-pink.webp,User-supplied floral color reference 04,User-provided source,,"https://www.bilibili.com/video/BV1acjF68E6N/ | https://www.bilibili.com/video/BV1qe4y1d71z/",user_authorized_reference_upload,User supplied and authorized this repository upload,primary,Compressed WebP derivative; exact video-to-frame mapping was not specified.
floral-reference-05,references/primary/floral-05-blue-yellow-orange.webp,User-supplied floral color reference 05,User-provided source,,"https://www.bilibili.com/video/BV1acjF68E6N/ | https://www.bilibili.com/video/BV1qe4y1d71z/",user_authorized_reference_upload,User supplied and authorized this repository upload,primary,Compressed WebP derivative; exact video-to-frame mapping was not specified.
floral-reference-06,references/primary/floral-06-blue-yellow-lilac.webp,User-supplied floral color reference 06,User-provided source,,"https://www.bilibili.com/video/BV1acjF68E6N/ | https://www.bilibili.com/video/BV1qe4y1d71z/",user_authorized_reference_upload,User supplied and authorized this repository upload,primary,Compressed WebP derivative; exact video-to-frame mapping was not specified.
palette-reference-01,references/details/palette-01-cobalt-yellow.webp,User-supplied palette card 01,User-provided source,,"https://www.bilibili.com/video/BV1acjF68E6N/ | https://www.bilibili.com/video/BV1qe4y1d71z/",user_authorized_reference_upload,User supplied and authorized this repository upload,details,Compressed WebP derivative; HEX values are transcribed into palette.json.
palette-reference-02,references/details/palette-02-teal-pink.webp,User-supplied palette card 02,User-provided source,,"https://www.bilibili.com/video/BV1acjF68E6N/ | https://www.bilibili.com/video/BV1qe4y1d71z/",user_authorized_reference_upload,User supplied and authorized this repository upload,details,Compressed WebP derivative; HEX values are transcribed into palette.json.
palette-reference-03,references/details/palette-03-orange-midnight.webp,User-supplied palette card 03,User-provided source,,"https://www.bilibili.com/video/BV1acjF68E6N/ | https://www.bilibili.com/video/BV1qe4y1d71z/",user_authorized_reference_upload,User supplied and authorized this repository upload,details,Compressed WebP derivative; HEX values are transcribed into palette.json.
palette-reference-04,references/details/palette-04-turquoise-cream.webp,User-supplied palette card 04,User-provided source,,"https://www.bilibili.com/video/BV1acjF68E6N/ | https://www.bilibili.com/video/BV1qe4y1d71z/",user_authorized_reference_upload,User supplied and authorized this repository upload,details,Compressed WebP derivative; HEX values are transcribed into palette.json.
palette-reference-05,references/details/palette-05-red-pale-warm.webp,User-supplied palette card 05,User-provided source,,"https://www.bilibili.com/video/BV1acjF68E6N/ | https://www.bilibili.com/video/BV1qe4y1d71z/",user_authorized_reference_upload,User supplied and authorized this repository upload,details,Compressed WebP derivative; HEX values are transcribed into palette.json.
palette-reference-06,references/details/palette-06-brown-beige.webp,User-supplied palette card 06,User-provided source,,"https://www.bilibili.com/video/BV1acjF68E6N/ | https://www.bilibili.com/video/BV1qe4y1d71z/",user_authorized_reference_upload,User supplied and authorized this repository upload,details,Compressed WebP derivative; HEX values are transcribed into palette.json.
palette-reference-07,references/details/palette-07-deep-blue-mist.webp,User-supplied palette card 07,User-provided source,,"https://www.bilibili.com/video/BV1acjF68E6N/ | https://www.bilibili.com/video/BV1qe4y1d71z/",user_authorized_reference_upload,User supplied and authorized this repository upload,details,Compressed WebP derivative; HEX values are transcribed into palette.json.
